test;geometry;@id;id;@geometry;Ville et commune;Quartier;Catégorie;Nom de l'établissement
;-4.09819,5.3391046;relation/4034977;relation/4034977;center;Yopougon;Maroc;Hôpital;Dispensaire diocésain sœur Catherine
;-4.0898414,5.3584349;way/91273250;way/91273250;center;;Yopougon;Hôpital;Centre Hospitalier Universitaire de Yopougon
;-4.0035691,5.2915831;way/91274323;way/91274323;center;;;Hôpital;Centre Hospitalier Universitaire de Treichville
;-5.2625997,6.8278344;way/94175286;way/94175286;center;;;Hôpital;Centre de Transfusion Sanguine30 64 08 69
;-5.2772611,6.8175123;way/94224466;way/94224466;center;;;Hôpital;CHR de Yamoussoukro
;-4.023121,5.3364081;way/205660285;way/205660285;center;;;Hôpital;Hôpital de police du Plateau
;-3.3461955,9.8172629;way/224640589;way/224640589;center;;;Hôpital;Baptist Hospital
;-3.9805081,5.2951247;way/263969281;way/263969281;center;;;Clinique médicale;Centre Medical et d'Imagerie Diagnostique (CMIDA)
;-6.5568982,5.4092863;way/273681818;way/273681818;center;;;Pharmacie;Pharmacie Moderne
;-5.2274384,6.878754;way/282802432;way/282802432;center;;;Hôpital;Infirmerie INPHB Centre
;-3.9778971,5.2875928;way/286247735;way/286247735;center;;;Clinique médicale;Clinique les Grâces
;-5.41866,6.3787759;way/293201334;way/293201334;center;Oumé;;Hôpital;Hopital Général de Oumé
;-5.4151507,6.3826969;way/293204486;way/293204486;center;Oumé;;Clinique médicale;Clinique Paul Simon
;-7.5517931,7.4074644;way/300274504;way/300274504;center;Man;;Pharmacie;Pharmacie du Commerce Man
;-7.5495699,7.4093685;way/300274513;way/300274513;center;Man;;Pharmacie;Pharmacie Moderne
;-7.5484649,7.4116637;way/300274519;way/300274519;center;Man;;Pharmacie;Pharmacie Lymanya Man
;-3.2083235,5.4667337;way/308479022;way/308479022;center;;;Hôpital;Grande Endemie
;-5.0363806,7.6996464;way/315450061;way/315450061;center;;;Hôpital;Centre Hospitalier Universitaire
;-4.0133515,5.3368409;way/326163566;way/326163566;center;Cocody;Vieux Cocody;Hôpital;Polyclinique Internationale Sainte Anne-Marie (PISAM)
;-3.9938504,5.3423413;way/327402561;way/327402561;center;Cocody;RTI;Hôpital;Centre hospitalier universitaire de Cocody (CHU de Cocody)
;-3.6624279,5.5027932;way/334188832;way/334188832;center;;;Hôpital;Hopital General d'Alépé
;-6.6654656,4.7608076;way/339971825;way/339971825;center;;;Hôpital;Formation sanitaire municipal de Zimbabwe
;-3.591274,5.2745759;way/340252445;way/340252445;center;;;Hôpital;Hôpital Général de Bonoua
;-4.3888153,5.3294221;way/350708434;way/350708434;center;;;Hôpital;Hopital HPD Dabou
;-4.0165433,5.3904096;way/355534059;way/355534059;center;;;Clinique médicale;centre medical social
;-5.2767394,6.8226542;way/359364588;way/359364588;center;;;Pharmacie;Pharmacie Le Bélier
;-5.2772458,6.8245802;way/359369882;way/359369882;center;;;Clinique médicale;Clinique Saint Augustin
;-4.087676,5.3471544;way/362268589;way/362268589;center;;;Clinique médicale;Clinique Saint-Michel
;-6.6065948,5.7853095;way/368638413;way/368638413;center;;;Hôpital;Hopital Militaire
;-4.3369162,7.4587457;way/370791203;way/370791203;center;;;Hôpital;Hopital general
;-3.9715757,7.0578154;way/373199674;way/373199674;center;;;Hôpital;Hôpital Général de Daoukro
;-6.0538849,6.926756;way/373201165;way/373201165;center;;;Hôpital;Centre de Santé Urbaine de Bonon
;-4.2162936,5.9197726;way/375838033;way/375838033;center;;;Hôpital;Hôpital Générale d'Agboville
;-3.505899,6.7286031;way/380706978;way/380706978;center;;;Pharmacie;Moya
;-7.5444495,7.412498;way/381510443;way/381510443;center;;;Pharmacie;Pharmacie Khianelli
;-4.1072196,5.3258806;way/392621415;way/392621415;center;Yopougon;Caféier;Clinique médicale;
;-5.1557986,9.0701895;way/392672749;way/392672749;center;Tafiré;;Hôpital;CSU Tafiré
;-5.4164914,6.3770502;way/394411069;way/394411069;center;;;Clinique médicale;Clinique Perle
;-5.4149057,6.3791133;way/394493299;way/394493299;center;Oumé;;Clinique médicale;Medico Scolaire Oumé
